Date,Name,Year,Letterboxd URI,Type,Genre,IMDbRating,Runtime,OMDbYear
2025-04-07,Corpse Bride,,https://boxd.it/24WQ,movie,"Animation, Comedy, Drama",7.4,77 min,2005
2025-04-07,The Lord of the Rings,,https://boxd.it/2b5k,movie,"Animation, Adventure, Fantasy",6.2,132 min,1978
2025-04-11,"10,000 Saints",,https://boxd.it/7r6S,,,,,
2025-04-11,Gangs of New York,,https://boxd.it/25FG,movie,"Crime, Drama",7.5,167 min,2002
2025-04-11,The Aviator,,https://boxd.it/26BU,movie,"Biography, Drama",7.5,170 min,2004
2025-04-11,Tropic Thunder,,https://boxd.it/20WM,movie,"Action, Comedy, War",7.1,107 min,2008
2025-04-11,Paid in Full,,https://boxd.it/1QQu,movie,"Action, Crime, Drama",7.0,97 min,2002
2025-04-11,The Secret World of Arrietty,,https://boxd.it/AF4,movie,"Animation, Adventure, Drama",7.6,94 min,2010
2025-04-11,Queer,,https://boxd.it/E4RW,movie,"Biography, Drama, History",6.5,137 min,2024
2025-04-11,I Saw the TV Glow,,https://boxd.it/woVe,movie,"Drama, Horror",5.8,100 min,2024
2025-04-11,Beetlejuice Beetlejuice,,https://boxd.it/yyGs,movie,"Comedy, Fantasy, Horror",6.6,105 min,2024
2025-04-11,The Danish Girl,,https://boxd.it/9Ohy,movie,"Biography, Drama",7.1,119 min,2015
2025-04-11,The Good Nurse,,https://boxd.it/jIXI,movie,"Biography, Crime, Drama",6.8,121 min,2022
2025-04-11,The Trial of the Chicago 7,,https://boxd.it/kn3w,movie,"Drama, History, Thriller",7.7,129 min,2020
2025-04-11,Black Death,,https://boxd.it/ZUI,movie,"Action, Drama, History",6.4,102 min,2010
2025-04-16,Maestro,,https://boxd.it/j0DE,movie,"Biography, Drama, History",6.5,129 min,2023
2025-04-17,Lake Mungo,,https://boxd.it/1rWM,movie,"Drama, Horror, Mystery",6.3,87 min,2008
2025-04-18,The Raid,,https://boxd.it/3hBy,movie,"War, Western",6.8,83 min,1954
2025-04-18,The Rainmaker,,https://boxd.it/1SD8,movie,"Crime, Drama, Thriller",7.2,135 min,1997
2025-04-20,Locke,,https://boxd.it/6hHC,movie,Drama,7.1,85 min,2013
2025-04-22,Patch Adams,,https://boxd.it/1Wzk,movie,"Biography, Comedy, Drama",6.8,115 min,1998
2025-04-22,"Good Morning, Vietnam",,https://boxd.it/29Aq,movie,"Biography, Comedy, Drama",7.3,121 min,1987
2025-04-22,Bicentennial Man,,https://boxd.it/2722,movie,"Drama, Romance, Sci-Fi",6.9,132 min,1999
2025-04-22,Robin Williams: An Evening at the Met,,https://boxd.it/1BFc,movie,"Documentary, Comedy",8.3,65 min,1986
2025-05-04,At Eternity's Gate,,https://boxd.it/hI40,movie,"Biography, Drama, History",6.9,111 min,2018
2025-05-04,Vice,,https://boxd.it/fcFY,movie,"Biography, Comedy, Drama",7.2,132 min,2018
2025-05-05,The Creator,,https://boxd.it/oXWq,movie,"Action, Adventure, Drama",6.7,133 min,2023
2025-05-06,Kingdom of Heaven,,https://boxd.it/28Gs,movie,"Action, Adventure, Drama",7.3,144 min,2005
2025-05-07,Lawrence of Arabia,,https://boxd.it/2wRE,movie,"Adventure, Biography, Drama",8.3,227 min,1962
2025-05-07,The Fifth Element,,https://boxd.it/71k,movie,"Action, Adventure, Sci-Fi",7.6,126 min,1997
2025-05-07,Apocalypse Now,,https://boxd.it/6ZS,movie,"Drama, Mystery, War",8.4,147 min,1979
2025-05-07,The Longest Day,,https://boxd.it/1Z3w,movie,"Action, Drama, History",7.7,178 min,1962
2025-05-07,The Assassination of Jesse James by the Coward Robert Ford,,https://boxd.it/24dG,movie,"Biography, Crime, Drama",7.5,160 min,2007
2025-05-07,The Green Knight,,https://boxd.it/kuy2,movie,"Adventure, Drama, Fantasy",6.6,130 min,2021
2025-05-08,Robin Hood: Prince of Thieves,,https://boxd.it/20hu,movie,"Action, Adventure, Drama",6.9,143 min,1991
2025-05-08,School of Rock,,https://boxd.it/28xK,movie,"Comedy, Music",7.2,109 min,2003
2025-05-08,The Upside,,https://boxd.it/fEPM,movie,"Comedy, Drama",7.0,126 min,2017
2025-05-09,My Dinner with Andre,,https://boxd.it/1vLe,movie,"Comedy, Drama",7.7,110 min,1981
2025-05-09,Mr. Nobody,,https://boxd.it/1k44,movie,"Drama, Fantasy, Romance",7.7,141 min,2009
2025-05-13,A History of Violence,,https://boxd.it/2bfa,movie,"Action, Crime, Drama",7.4,96 min,2005
2025-05-14,The Empty Man,,https://boxd.it/iIWS,movie,"Drama, Horror, Mystery",6.2,137 min,2020
2025-05-16,Sling Blade,,https://boxd.it/1RRo,movie,Drama,8.0,135 min,1996
2025-05-18,Come and See,,https://boxd.it/1w9q,movie,"Drama, Thriller, War",8.4,142 min,1985
2025-05-18,The Apartment,,https://boxd.it/2aGE,movie,"Comedy, Drama, Romance",8.3,125 min,1960
2025-05-18,Do the Right Thing,,https://boxd.it/29gA,movie,"Comedy, Drama",7.9,120 min,1989
2025-05-18,Children of Men,,https://boxd.it/1Y2i,movie,"Drama, Sci-Fi, Thriller",7.9,109 min,2006
2025-05-18,Eternal Sunshine of the Spotless Mind,,https://boxd.it/6YK,movie,"Drama, Romance, Sci-Fi",8.3,108 min,2004
2025-05-18,The Elephant Man,,https://boxd.it/27LQ,movie,"Biography, Drama",8.2,124 min,1980
2025-05-18,Eddington,,https://boxd.it/o6MC,movie,"Comedy, Drama, Western",N/A,N/A,2025
2025-05-18,300,,https://boxd.it/28XI,movie,"Action, Drama",7.6,117 min,2006
2025-05-18,Beowulf,,https://boxd.it/26Xw,movie,"Animation, Action, Adventure",6.3,115 min,2007
2025-05-18,Dead Snow,,https://boxd.it/1O4e,movie,"Comedy, Fantasy, Horror",6.3,91 min,2009
